parameter,metabolite,compartment,enzyme,reaction,experiment,phosphorylation_modifying_enzyme,location,scale,pct1,pct99
kcat,,,r1,r1,,,1,0.6,,
kcat,,,r2,r2,,,1,0.6,,
kcat,,,r3,r3,,,1,0.6,,
km,M1,e,r1,,,,1,0.6,,
km,M1,c,r1,,,,1,0.6,,
km,M1,c,r2,,,,1,0.6,,
km,M2,c,r2,,,,1,0.6,,
km,M2,c,r3,,,,1,0.6,,
km,M2,e,r3,,,,1,0.6,,
dgf,M1,,,,,,-1,0.05,,
dgf,M2,,,,,,-2,0.05,,
ki,M2,c,r2,r2,,,1,0.6,,
transfer_constant,,,r1,,,,1,0.6,,
transfer_constant,,,r2,,,,1,0.6,,
dissociation_constant,M2,c,r1,,,,1,0.6,,
dissociation_constant,M1,c,r2,,,,1,0.6,,
psi,,,,,condition1,,-0.95,0.2,,
psi,,,,,condition2,,-0.95,0.2,,
conc_pme,,,,,condition1,pi2,0.9,0.2,,
conc_pme,,,,,condition1,pa2,1,0.2,,
conc_pme,,,,,condition2,pi2,0.9,0.2,,
conc_pme,,,,,condition2,pa2,1,0.2,,
kcat_pme,,,,,,pi2,0.5,0.6,,
kcat_pme,,,,,,pa2,1.2,0.6,,
